"sex","age","state","undocu","edyrs","income"
"Female",68,"Florida","No",9,72.821
"Male",59,"California","No",9,85.502
"Male",64,"California","Yes",3,58.612
"Male",60,"California","Yes",5,62.875
"Male",51,"Other","No",11,73.065
"Female",63,"California","No",9,101.076
"Female",53,"Other","Yes",8,47.128
"Female",57,"Other","No",10,70.683
"Male",67,"New York","No",13,98.326
"Male",52,"Other","No",11,74.745
"Female",52,"Other","No",10,72.047
"Male",36,"Other","No",13,75.938
"Female",54,"Other","No",13,83.433
"Female",61,"New York","No",14,104.392
"Female",59,"Other","No",11,74.497
"Female",43,"Other","Yes",8,57.547
"Male",79,"Other","No",13,79.893
"Female",46,"Florida","Yes",6,54.067
"Female",58,"New York","Yes",6,62.946
"Male",53,"Florida","No",14,96.023
"Male",46,"Other","No",14,86.157
"Female",60,"California","No",6,77.908
"Male",56,"Other","Yes",7,56.212
"Male",51,"Texas","Yes",6,58.171
"Female",68,"Texas","Yes",4,44.85
"Male",54,"Other","No",10,72.685
"Male",70,"Texas","No",8,68.122
"Male",45,"Other","Yes",8,52.936
"Female",75,"Florida","No",14,89.116
"Female",38,"California","No",9,81.603
"Male",46,"Other","No",10,68.979
"Male",60,"Other","Yes",6,46.172
"Male",46,"California","No",6,78.313
"Male",49,"New York","Yes",6,64.972
"Female",66,"Florida","Yes",7,54.573
"Male",59,"Illinois","No",12,91.417
"Male",48,"Florida","No",11,85.793
"Male",50,"California","No",7,77.991
"Female",35,"Other","No",9,76.963
"Female",42,"Florida","No",12,83.429
"Female",65,"New York","No",9,93.124
"Male",59,"California","No",8,81.423
"Female",50,"Texas","No",9,70.429
"Male",43,"California","No",8,80.559
"Female",53,"Other","No",13,79.898
"Female",51,"Other","No",12,83.519
"Male",57,"Texas","No",10,74.012
"Male",40,"Other","No",12,73.62
"Female",60,"California","Yes",0,53.338
"Male",62,"Other","No",11,75.163
"Male",55,"California","No",8,81.762
"Female",54,"New York","No",11,98.816
"Female",59,"Other","No",10,73.033
"Female",25,"Florida","No",13,79.101
"Male",51,"New York","Yes",6,61.418
"Male",57,"Florida","Yes",6,54.011
"Male",51,"Other","No",9,66.237
"Male",46,"Texas","No",11,77.639
"Male",59,"California","No",8,82.687
"Female",55,"Other","No",9,67.601
"Female",51,"California","Yes",1,63.88
"Male",32,"New York","Yes",7,70.098
"Male",52,"Other","No",8,61.347
"Male",67,"Texas","No",13,92.869
"Female",45,"Florida","No",12,90.326
"Female",54,"Florida","No",12,84.773
"Male",66,"Other","No",13,98.575
"Female",41,"California","No",9,85.884
"Male",66,"Other","Yes",7,52.254
"Male",66,"California","Yes",2,79.662
"Female",52,"Florida","No",12,88.597
"Female",45,"California","Yes",2,52.244
"Male",37,"California","No",10,88.211
"Female",61,"California","No",7,78.483
"Female",60,"California","No",8,80.302
"Male",46,"Florida","No",8,68.455
"Female",47,"Other","No",8,60.244
"Male",56,"Texas","No",12,85.273
"Male",61,"Texas","No",8,69.048
"Male",44,"Other","No",12,75.642
"Male",60,"Other","Yes",5,62.981
"Male",51,"California","Yes",4,58.981
"Male",50,"Texas","No",12,81.639
"Male",44,"Other","No",9,75.367
"Male",39,"Illinois","No",10,78.552
"Female",62,"Other","No",10,70.354
"Male",63,"California","No",9,84.67
"Female",42,"New York","No",7,82.623
"Male",55,"New York","No",14,114.717
"Male",63,"Other","Yes",9,50.701
"Male",45,"Other","No",9,65.453
"Female",51,"Other","No",13,82.726
"Male",36,"Other","No",13,75.334
"Female",72,"California","No",7,82.435
"Female",51,"Other","Yes",8,49.077
"Female",68,"Illinois","No",12,86.128
"Female",39,"Other","No",8,60.609
"Male",51,"California","Yes",4,67.842
"Male",59,"Other","No",9,66.651
"Female",62,"California","No",8,80.216
"Female",58,"California","Yes",0,56.234
"Male",50,"California","No",4,71.956
"Male",55,"Other","No",10,69.629
"Male",55,"New York","No",13,103.747
"Female",54,"New York","No",14,102.866
"Female",47,"Other","No",15,85.563
"Male",44,"Other","No",13,77.794
"Male",54,"Other","No",9,66.016
"Male",57,"Other","No",12,77.238
"Male",55,"Other","Yes",8,49.717
"Female",52,"Florida","No",10,79.621
"Male",55,"Other","No",6,61.083
"Female",35,"Other","No",12,75.325
"Male",62,"Texas","No",11,80.487
"Female",61,"Other","No",8,71.862
"Female",50,"New York","No",8,81.605
"Female",59,"Other","No",11,78.301
"Female",42,"California","No",4,63.95
"Female",68,"Other","Yes",8,47.832
"Male",63,"California","No",6,73.735
"Female",47,"Florida","Yes",5,54.28
"Male",40,"Illinois","Yes",5,55.16
"Male",57,"New York","No",9,99.979
"Male",58,"Other","Yes",6,45.692
"Male",48,"California","Yes",5,59.27
"Female",65,"New York","Yes",7,63.487
"Female",45,"Other","No",11,75.873
"Male",75,"Other","No",9,64.714
"Male",30,"California","Yes",3,47.87
"Male",55,"Other","No",9,68.96
"Male",61,"Florida","No",12,106.529
"Female",58,"Other","No",10,70.631
"Female",62,"California","No",9,84.022
"Female",42,"Other","Yes",5,41.431
"Male",65,"Illinois","No",10,81.514
"Female",39,"Other","Yes",5,42.998
"Male",55,"Other","No",13,83.109
"Female",56,"Other","No",13,82.432
"Male",54,"New York","No",11,97.983
"Female",48,"Florida","No",13,87.536
"Female",52,"Florida","No",14,95.962
"Male",51,"Other","No",12,75.133
"Male",40,"Texas","No",9,66.86
"Female",55,"Other","No",12,79.183
"Female",51,"Texas","Yes",5,52.212
"Female",61,"Florida","Yes",5,53.535
"Male",45,"California","No",7,76.918
"Male",53,"Other","No",13,80.15
"Female",50,"Other","No",10,72.71
"Male",43,"California","No",3,66.654
"Female",58,"Other","No",9,69.107
"Male",60,"Texas","No",10,78.137
"Male",64,"Other","No",8,68.625
"Female",38,"Florida","No",12,83.624
"Female",54,"Other","No",11,73.586
"Female",61,"California","Yes",2,58.684
"Female",68,"Other","No",14,82.088
"Male",54,"Other","No",12,79.35
"Male",51,"Florida","Yes",5,52.044
"Male",39,"Other","No",11,76.881
"Female",48,"Illinois","No",12,86.988
"Male",51,"Florida","No",11,90.754
"Female",49,"Other","No",13,78.948
"Male",47,"California","Yes",3,66.734
"Female",37,"Illinois","No",13,87.108
"Female",54,"Other","Yes",9,52.153
"Female",70,"Other","No",11,71.45
"Female",55,"Florida","No",10,78.196
"Female",45,"Other","No",12,78.795
"Female",51,"California","No",10,88.198
"Female",43,"Other","Yes",8,46.149
"Male",50,"Texas","Yes",7,53.569
"Male",50,"New York","No",10,86.844
"Male",61,"Texas","No",7,70.151
"Male",54,"Other","No",10,70.094
"Male",68,"California","No",9,83.299
"Female",52,"Texas","No",11,81.583
"Female",34,"Other","No",12,73.759
"Female",54,"Florida","No",10,76.703
"Male",49,"New York","Yes",3,58.254
"Male",51,"Other","No",11,76.815
"Male",44,"Other","Yes",8,53.471
"Female",57,"Illinois","No",10,79.346
"Female",59,"Other","No",12,76.186
"Female",51,"California","No",5,71.418
"Male",48,"Other","No",11,72.079
"Male",39,"Other","Yes",9,62.361
"Female",48,"New York","No",10,84.634
"Male",55,"Other","No",12,80.019
"Male",62,"Other","No",11,79.645
"Male",54,"Other","No",12,78.711
"Female",42,"Other","No",10,66.947
"Female",59,"Other","No",10,70.519
"Male",44,"California","Yes",0,49.522
"Female",54,"Texas","No",9,70.114
"Male",59,"California","No",11,91.198
"Female",64,"Other","No",8,67.905
"Male",57,"Other","No",13,83.592
"Male",48,"New York","Yes",10,71.738
"Female",50,"Illinois","No",11,82.59
"Male",41,"Other","Yes",3,37.251
"Female",46,"Florida","No",11,83.986
"Male",58,"Other","No",13,82.237
"Male",45,"Other","No",12,77.53
"Male",44,"Other","No",12,73.978
"Female",53,"Other","No",13,78.917
"Female",42,"Florida","No",12,93.632
"Female",44,"California","No",5,79.324
"Female",61,"Texas","No",10,75.325
"Male",48,"Illinois","Yes",5,52.019
"Male",58,"Other","No",10,71.446
"Female",62,"California","No",6,76.297
"Male",50,"New York","No",12,103.022
"Male",62,"Illinois","No",11,86.691
"Male",59,"New York","No",12,93.779
"Female",29,"Florida","Yes",6,48.055
"Female",54,"Other","No",12,77.618
"Male",35,"New York","No",11,84.498
"Male",34,"Texas","No",12,75.577
"Female",64,"Other","No",8,61.573
"Female",58,"California","No",7,77.775
"Male",70,"Other","No",14,94.59
"Male",34,"California","Yes",5,59.501
"Male",40,"New York","No",11,91.827
"Female",57,"Texas","Yes",7,67.214
"Female",61,"Other","No",7,59.46
"Female",61,"Other","No",13,87.625
"Male",62,"Other","No",10,70.626
"Female",51,"New York","No",12,93.137
"Male",68,"Other","Yes",9,50.235
"Male",57,"Other","Yes",6,44.673
"Female",58,"Other","No",11,85.277
"Female",51,"Illinois","No",11,84.227
"Male",53,"California","No",8,83.796
"Male",73,"California","No",7,77.463
"Female",67,"Texas","No",10,79.391
"Male",42,"Other","No",14,84.382
"Male",58,"California","No",9,91.126
"Female",49,"California","No",5,81.65
"Male",54,"Other","No",11,73.475
"Male",41,"Other","No",12,76.082
"Female",41,"Other","No",14,81.309
"Male",63,"California","Yes",4,59.296
"Male",59,"Florida","Yes",6,68.697
"Female",62,"Illinois","No",14,98.895
"Male",60,"Other","No",11,75.829
"Male",55,"Other","Yes",10,55.244
"Female",46,"Other","Yes",7,44.82
"Male",62,"New York","No",14,101.109
"Female",55,"California","No",9,93.282
"Male",46,"Other","No",11,72
"Male",47,"California","No",6,79.08
"Female",55,"Other","Yes",5,41.948
"Male",62,"Illinois","No",11,82.919
"Female",53,"New York","Yes",5,60.238
"Female",60,"California","No",6,74.397
"Male",47,"California","No",5,68.121
"Female",52,"California","No",4,72.152
"Male",57,"California","No",5,70.992
"Male",43,"Other","Yes",6,44.715
"Female",62,"New York","No",11,91.608
"Female",55,"Other","No",10,74.133
"Male",27,"California","No",8,73.658
"Male",52,"Other","No",12,86.926
"Female",61,"Florida","No",11,82.238
"Male",68,"Florida","No",12,84.857
"Female",66,"Other","No",10,70.144
"Male",58,"Other","Yes",6,45.566
"Female",52,"Other","No",10,69.97
"Female",64,"Illinois","No",10,79.864
"Female",46,"Other","No",14,84.799
"Male",56,"Florida","Yes",8,56.611
"Female",62,"Other","Yes",6,45.439
"Female",50,"Other","No",13,84.509
"Female",66,"Other","No",13,80.276
"Male",55,"Florida","No",14,90.459
"Male",36,"Texas","No",9,70.463
"Male",34,"Other","No",14,89.14
"Female",53,"Florida","No",13,88.68
"Female",53,"Illinois","No",10,81.316
"Male",62,"Other","Yes",8,58.666
"Male",63,"Other","No",13,84.729
"Female",42,"California","No",8,79.744
"Male",48,"California","No",7,77.668
"Male",44,"Other","No",12,77.759
"Female",53,"Other","Yes",4,45.35
"Female",45,"Other","No",8,61.621
"Female",56,"Texas","No",10,77.261
"Male",51,"New York","No",9,85.144
"Male",67,"Florida","Yes",6,51.609
"Male",39,"Other","No",12,72.53
"Female",44,"Other","No",9,65.65
"Female",52,"Other","Yes",7,48.392
"Male",58,"California","No",9,87.901
"Male",60,"Florida","No",10,78.76
"Male",60,"Other","No",10,69.058
"Female",53,"New York","Yes",5,60.069
"Male",59,"Other","No",16,93.64
"Male",62,"New York","No",10,93.017
"Female",60,"Other","No",9,68.502
"Female",54,"Florida","No",10,79.309
"Male",47,"Florida","No",11,80.082
"Female",62,"Illinois","No",11,83.35
"Male",63,"Other","No",12,76.86
"Male",59,"Texas","No",10,79.175
"Male",45,"California","No",6,73
"Male",27,"Other","No",10,60.025
"Female",56,"California","No",8,82.061
"Male",53,"California","No",7,77.508
"Female",69,"Other","Yes",2,39.067
"Female",54,"California","No",8,80.276
"Female",43,"Other","No",14,81.295
"Male",50,"Other","Yes",8,55.498
"Female",45,"Other","No",14,85.416
"Female",62,"California","No",4,69.058
"Female",44,"Other","No",9,68.297
"Female",47,"Other","No",15,85.778
"Male",58,"Other","No",10,71.754
"Male",45,"New York","Yes",8,64.848
"Female",63,"California","No",6,84.416
"Female",54,"California","No",6,92.023
"Female",64,"Illinois","Yes",6,55.948
"Female",57,"Other","Yes",6,50.742
"Female",51,"Other","No",9,65.513
"Female",47,"California","No",5,68.99
"Male",63,"Other","No",9,66.489
"Female",54,"Other","No",9,66.344
"Female",47,"Other","No",14,85.351
"Female",36,"Other","No",9,65.377
"Male",52,"Other","No",12,83.932
"Male",52,"Other","No",13,88.832
"Male",52,"Other","No",11,81.239
"Female",48,"Other","No",10,70.771
"Male",52,"California","No",8,80.69
"Male",55,"Florida","No",11,90.77
"Female",63,"Other","No",14,90.164
"Female",38,"Other","No",12,72.076
"Female",63,"California","Yes",3,62.614
"Male",60,"New York","Yes",6,69.888
"Male",49,"New York","No",12,98.706
"Male",52,"Texas","No",10,82.104
"Male",56,"California","No",7,79.297
"Male",54,"New York","No",8,82.315
"Male",43,"Texas","No",10,72.331
"Female",51,"Other","No",12,84.186
"Female",54,"Florida","No",12,87.596
"Female",44,"New York","No",11,88.657
"Male",52,"Texas","No",10,76.075
"Female",49,"California","Yes",1,54.023
"Female",55,"Other","Yes",5,45.054
"Female",54,"New York","No",13,96.778
"Female",53,"Other","No",11,77.592
"Male",53,"Other","No",13,82.097
"Male",58,"California","No",8,81.184
"Female",39,"Other","No",9,70.976
"Female",61,"New York","No",10,89.224
"Female",46,"California","No",13,98.767
"Female",49,"Florida","No",10,85.331
"Male",46,"Texas","No",11,77.27
"Female",51,"Illinois","Yes",7,62.212
"Male",52,"California","No",8,81.624
"Male",44,"Other","No",13,77.638
"Female",50,"Texas","No",10,73.814
"Male",56,"California","No",8,83.192
"Female",44,"California","No",8,78.716
"Male",41,"Other","No",11,73.99
"Male",62,"New York","No",11,91.488
"Female",46,"Florida","No",11,80.933
"Male",56,"Other","No",11,76.19
"Male",44,"California","Yes",5,60.441
"Male",40,"Illinois","No",12,83.653
"Female",45,"Florida","Yes",7,56.917
"Male",55,"Other","Yes",8,53.005
"Female",46,"Florida","No",12,86.09
"Female",54,"Other","No",13,81.242
"Female",51,"California","No",6,74.812
"Male",64,"California","Yes",3,61.539
"Male",42,"Illinois","No",10,76.156
"Male",39,"Other","No",14,80
"Female",48,"California","Yes",3,57.289
"Male",55,"Other","Yes",7,45.511
"Female",40,"Other","No",11,72.674
"Male",56,"California","No",3,73.016
"Female",50,"New York","No",14,104.494
"Male",52,"Texas","No",13,87.589
"Male",60,"California","No",9,84.779
"Female",56,"California","No",5,78.511
"Male",64,"California","No",12,96.377
"Male",46,"Other","Yes",6,43.971
"Female",54,"California","No",9,90.341
"Male",54,"Florida","No",12,89.185
"Female",60,"Other","No",12,76.047
"Male",50,"New York","No",11,90.461
"Female",60,"Other","Yes",7,47.722
"Male",62,"Texas","No",12,82.469
"Female",42,"Florida","No",9,71.922
"Male",51,"New York","No",10,87.405
"Female",54,"Texas","Yes",7,52.46
"Female",46,"California","Yes",0,51.222
"Female",42,"Florida","No",10,76.806
"Male",76,"Texas","No",8,64.634
"Female",70,"California","No",7,85.098
"Female",63,"California","No",6,81.107
"Female",42,"Texas","No",8,65.221
"Male",78,"Other","No",8,71.911
"Female",56,"Other","No",10,70.461
"Male",61,"Other","No",14,86.568
"Female",48,"Florida","No",12,86.232
"Male",42,"Texas","No",12,79.863
"Female",50,"Illinois","No",13,92.877
"Female",48,"Other","Yes",8,50.82
"Male",36,"New York","No",8,76.503
"Female",44,"Other","No",11,70.538
"Female",57,"Illinois","Yes",7,60.313
"Female",66,"Texas","No",13,87.688
"Male",59,"Other","No",12,85.835
"Female",36,"Other","No",15,81.719
"Male",46,"Other","Yes",6,45.729
"Female",57,"Texas","No",8,69.383
"Male",49,"Other","No",9,67.873
"Female",67,"California","Yes",4,59.653
"Male",54,"Other","No",11,75.716
"Male",70,"Other","No",12,83.202
"Female",54,"Other","No",11,75.481
"Female",43,"California","No",8,78.215
"Female",28,"California","No",9,74.943
"Male",62,"New York","No",10,86.544
"Female",64,"California","No",8,83.58
"Male",52,"Illinois","No",13,92.894
"Male",40,"Illinois","No",13,90.185
"Male",64,"California","Yes",0,52.853
"Female",61,"California","Yes",3,68.4
"Female",71,"Florida","No",11,86.061
"Male",63,"California","Yes",2,58.249
"Male",56,"Other","No",11,80.339
"Female",48,"California","No",8,81.65
"Male",41,"California","Yes",5,65.013
"Male",55,"California","Yes",3,73.814
"Male",49,"California","Yes",4,64.972
"Female",44,"Other","No",12,77.428
"Male",61,"Florida","No",9,77.263
"Male",34,"Florida","No",9,69.262
"Male",51,"Other","No",12,82.269
"Female",46,"Illinois","No",12,88.189
"Female",74,"Other","No",12,81.439
"Male",48,"Other","No",11,72.874
"Female",54,"Other","Yes",7,49.732
"Male",71,"California","No",8,84.86
"Male",41,"Texas","No",12,82.043
"Male",49,"New York","No",11,91.749
"Female",60,"Illinois","Yes",6,55.306
"Female",63,"Florida","No",11,87.309
"Female",62,"Other","Yes",4,42.251
"Male",37,"California","No",9,79.831
"Male",49,"California","No",7,76.919
"Female",57,"Other","No",10,74.168
"Female",56,"California","Yes",0,51.99
"Male",64,"Other","Yes",6,47.588
"Female",61,"Other","No",14,82.746
"Female",58,"Florida","Yes",8,57.011
"Male",72,"California","No",7,78.866
"Female",58,"Illinois","Yes",5,54.713
"Female",62,"Other","No",12,78.627
"Male",57,"New York","No",8,82.935
"Male",47,"California","No",8,79.686
"Female",48,"Texas","No",9,77.61
"Female",64,"Other","Yes",6,44.59
"Male",52,"California","No",7,81.416
"Female",58,"New York","Yes",6,67.65
"Male",59,"Other","No",11,73.141
"Female",69,"Other","No",12,77.073
"Male",53,"California","No",8,84.271
"Male",34,"New York","No",12,90.049
"Female",63,"California","No",10,93.617
"Female",56,"Other","No",9,68.199
"Female",37,"Texas","No",8,72.924
"Female",74,"California","No",9,83.569
"Female",32,"Other","No",14,82.744
"Female",64,"Other","No",11,77.78
"Male",40,"California","No",6,71.163
"Female",70,"Other","Yes",8,47.582
"Male",50,"Other","No",8,63.981
"Male",55,"Other","No",16,95.24
"Female",66,"Other","No",11,75.813
"Male",46,"Texas","No",11,83.08
"Male",65,"California","No",8,81.438
"Male",61,"Texas","No",10,76.715
"Female",62,"New York","No",7,80.862
"Female",58,"Other","No",11,74.535
"Male",44,"California","Yes",1,55.987
"Female",53,"Other","No",9,67.969
"Female",52,"California","No",9,85.897
"Female",62,"California","No",9,87.723
"Male",58,"California","No",6,75.4
"Male",57,"Texas","No",11,79.169
"Female",52,"Other","No",11,80.498
"Male",52,"Other","No",12,79.563
"Male",60,"Other","No",12,79.106
"Female",58,"California","Yes",2,56.559
"Male",54,"California","Yes",3,57.069
"Female",34,"Other","No",10,76.056
"Male",50,"Florida","No",10,75.406
"Male",37,"Other","No",10,64.336
"Female",52,"Other","No",13,82.408
"Female",65,"Other","No",10,69.816
"Female",68,"Other","No",11,76.224
"Male",54,"Other","No",12,78.348
"Female",50,"California","Yes",2,56.167
"Male",39,"Other","No",12,79.045
"Male",50,"California","Yes",2,57.803
"Female",41,"Other","No",9,70.587
"Female",65,"Illinois","No",12,86.16
"Male",31,"Illinois","No",9,68.998
"Male",54,"California","No",7,78.824
"Female",47,"Florida","Yes",6,56.1
"Male",46,"Other","Yes",6,45.012
"Male",53,"Florida","Yes",7,63.552
"Female",55,"California","No",7,77.635
"Female",56,"Florida","Yes",8,57.32
"Female",54,"New York","No",12,106.339
"Male",63,"Other","No",12,80.103
"Female",47,"Illinois","Yes",6,53.555
"Male",53,"New York","No",11,96.667
"Male",59,"Other","No",13,80.823
"Male",49,"Other","No",10,68.005
"Male",60,"California","Yes",6,63.143
"Male",61,"Other","No",12,77.906
"Female",64,"California","Yes",1,55.377
"Female",45,"California","No",11,90.676
"Male",45,"Texas","No",9,73.76
"Male",49,"California","No",8,82.904
"Male",55,"Other","No",10,78.734
"Female",43,"Texas","No",9,72.672
"Male",50,"Other","No",12,80.298
"Female",67,"California","No",5,70.799
"Male",64,"California","Yes",2,59.027
"Male",45,"Other","No",11,73.974
"Female",52,"Illinois","No",7,70.026
"Male",51,"Other","No",9,68.388
"Female",55,"Illinois","No",12,89.677
"Female",57,"Texas","No",14,90.026
"Female",46,"New York","Yes",7,63.124
"Female",42,"California","Yes",4,61.874
"Female",64,"California","No",7,78.385
"Female",42,"California","No",7,78.531
"Male",68,"Other","No",12,76.242
"Female",57,"Other","No",12,83.563
"Male",32,"California","No",7,76.433
"Female",28,"Other","No",12,72.355
"Female",37,"Other","Yes",8,48.047
"Female",47,"Other","Yes",9,52.424
"Male",35,"Other","No",10,64.221
"Male",63,"New York","No",9,84.252
"Female",46,"California","Yes",4,57.603
"Male",55,"California","Yes",1,54
"Male",60,"Texas","No",9,74.131
"Male",63,"Other","Yes",5,43.821
"Male",39,"Other","No",11,69.116
"Male",69,"California","No",12,94.044
"Male",53,"California","No",5,71.145
"Male",47,"Other","No",14,86.461
"Female",54,"New York","No",15,106.169
"Female",60,"New York","No",13,101.732
"Female",57,"New York","No",11,92.499
"Male",52,"Other","No",9,65.427
"Female",57,"Other","No",9,66.18
"Female",63,"Other","Yes",7,47.764
"Male",30,"Other","No",8,57.089
"Male",33,"Florida","No",9,68.735
"Female",42,"Other","No",10,72.5
"Female",71,"Texas","No",10,83.216
"Female",43,"Texas","No",9,68.836
"Male",52,"California","No",10,94.381
"Female",43,"Other","No",13,80.419
"Female",59,"New York","No",13,98.62
"Female",42,"Other","No",11,69.912
"Male",63,"Other","No",9,76.543
"Female",53,"California","Yes",1,53.392
"Male",40,"Texas","Yes",6,52.101
"Female",64,"California","No",8,80.937
"Female",75,"Florida","No",13,92.241
"Female",46,"California","No",7,93.663
"Female",52,"New York","No",8,79.045
"Female",56,"Other","No",8,70.285
"Female",42,"Other","Yes",10,53.173
"Female",46,"New York","No",11,91.439
"Female",49,"California","No",8,95.171
"Female",44,"New York","Yes",6,72.3
"Male",55,"Other","No",11,84.883
"Male",61,"Illinois","No",12,85.896
"Female",56,"Other","No",11,76.344
"Male",46,"Other","No",11,75.535
"Male",56,"Other","Yes",5,48.878
"Female",46,"Other","Yes",7,45.773
"Female",51,"Other","No",10,70.472
"Male",68,"Florida","No",12,88.98
"Female",34,"Florida","No",13,87.925
"Female",60,"Other","No",10,71.195
"Male",71,"Other","Yes",4,41.972
"Female",35,"California","No",5,68.879
"Male",49,"Other","No",8,62.476
"Female",63,"California","No",10,106.191
"Male",57,"California","No",4,75.079
"Male",52,"Texas","No",7,70.915
"Female",43,"California","No",6,76.732
"Male",42,"Texas","No",10,77.112
"Male",40,"New York","No",8,77.105
"Female",47,"Florida","No",9,72.592
"Male",58,"Other","Yes",7,54.088
"Female",78,"Florida","Yes",8,57.517
"Female",59,"Other","Yes",5,45.519
"Male",69,"California","No",8,83.079
"Female",61,"California","Yes",0,53.949
"Female",54,"Other","No",11,85.397
"Male",66,"Other","Yes",6,46.649
"Male",53,"California","Yes",3,57.317
